id,name,age,admission,major_id
0,김현서,26,2019,10
1,김세락,22,2023,13
2,김서솔,25,2020,14
3,김한운,24,2021,17
4,김승현,23,2022,14
5,조진연,24,2021,12
6,이시연,24,2021,1
7,이재훈,24,2021,15
8,류예아,22,2023,5
9,이재진,22,2023,14
10,박혀연,26,2019,12
11,정유찬,26,2019,14
12,김민경,25,2020,17
13,조태훈,21,2024,12
14,김보경,21,2024,17
15,노재후,23,2022,11
16,강희연,21,2024,10
17,오긍운,23,2022,5
18,이현연,22,2023,5
19,최준희,21,2024,6
20,이유서,22,2023,12
21,임규후,25,2020,6
22,김지진,26,2019,6
23,김호보,24,2021,12
24,김다현,25,2020,14
25,박현서,24,2021,13
26,강혜경,22,2023,6
27,이민민,25,2020,11
28,최예리,26,2019,7
29,곽벙석,20,2025,7
30,김유은,22,2023,9
31,송겅준,24,2021,6
32,이서경,24,2021,13
33,김진현,20,2025,16
34,김서연,20,2025,7
35,고태은,25,2020,14
36,이혜연,25,2020,7
37,전민원,26,2019,4
38,강도은,23,2022,5
39,김영후,25,2020,8
40,김민전,21,2024,11
41,박형환,23,2022,4
42,박은아,22,2023,2
43,송홍용,22,2023,13
44,김도나,25,2020,6
45,장재환,21,2024,14
46,이은빈,20,2025,1
47,조병훈,22,2023,1
48,김채희,21,2024,9
49,양희전,25,2020,14
50,김수연,20,2025,7
51,김춘수,25,2020,12
52,강윤은,20,2025,9
53,유민준,24,2021,6
54,이지민,24,2021,8
55,고광후,20,2025,15
56,김현준,21,2024,17
57,유홍훈,25,2020,6
58,이민수,26,2019,8
59,이병우,22,2023,7
60,이혜준,22,2023,11
61,송형우,23,2022,12
62,정수예,26,2019,13
63,김영민,21,2024,8
64,염수연,26,2019,14
65,김세규,25,2020,12
66,하예빈,21,2024,5
67,조상슨,21,2024,8
68,임승예,22,2023,5
69,오정민,24,2021,14
70,신소민,22,2023,8
71,최긴재,24,2021,1
72,전이연,21,2024,6
73,홍기배,22,2023,12
74,김지진,22,2023,15
75,이민현,21,2024,16
76,조사우,24,2021,13
77,이재성,22,2023,1
78,이미원,21,2024,16
79,박이훈,26,2019,4
80,김예원,24,2021,14
81,조승현,20,2025,14
82,방미지,20,2025,12
83,정세진,24,2021,7
84,최희윤,21,2024,10
85,김현선,26,2019,12
86,장예희,22,2023,8
87,손주운,22,2023,5
88,옥소영,25,2020,9
89,진지준,22,2023,14
90,강서연,23,2022,11
91,김잔회,24,2021,13
92,박나원,24,2021,5
93,박승호,25,2020,10
94,김유은,24,2021,14
95,안동현,21,2024,6
96,한다현,21,2024,14
97,심성빈,20,2025,12
98,김승경,20,2025,6
99,선봉관,20,2025,11
100,고나은,25,2020,12
101,구원선,26,2019,11
102,김지현,25,2020,14
103,배진균,25,2020,10
104,백서아,25,2020,14
105,임후우,23,2022,16
106,방주은,24,2021,1
107,황항균,22,2023,13
108,배지서,23,2022,7
109,홍요원,24,2021,1
110,박유연,20,2025,5
111,이전현,24,2021,5
112,김예연,24,2021,7
113,최수녕,25,2020,4
114,김연연,22,2023,6
115,채긴민,21,2024,14
116,이가지,21,2024,13
117,최운준,26,2019,10
118,이채은,23,2022,12
119,신겅운,22,2023,8
120,김연경,23,2022,9
121,박봉련,26,2019,16
122,신혜현,22,2023,13
123,백진현,24,2021,8
124,임지나,23,2022,12
125,오연준,24,2021,13
126,박민민,23,2022,13
127,홍윤운,25,2020,16
128,박지연,25,2020,12
129,김정성,23,2022,7
130,김인린,25,2020,5
131,정상진,22,2023,14
132,김유민,26,2019,10
133,우왕신,21,2024,7
134,전다예,23,2022,8
135,서기견,25,2020,3
136,이지빈,23,2022,12
137,이형운,26,2019,2
138,양민향,20,2025,17
